region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,2004-07-01,17,7.098118279569892,220.04166666666666
dalarna,2004-08-01,15,6.400698924731183,198.42166666666668
dalarna,2004-09-01,11,4.616777777777778,138.50333333333333
dalarna,2004-10-01,7,2.4510752688172044,75.98333333333333
dalarna,2004-11-01,6,2.5320555555555555,75.96166666666666
dalarna,2004-12-01,0,1.7603763440860214,54.571666666666665
dalarna,2005-01-01,1,1.5658602150537633,48.541666666666664
dalarna,2005-02-01,5,2.4265476190476187,67.94333333333333
dalarna,2005-03-01,16,5.780752688172043,179.20333333333332
dalarna,2005-04-01,21,8.643833333333333,259.315
dalarna,2005-05-01,14,5.60989247311828,173.90666666666667
dalarna,2005-06-01,17,7.579722222222222,227.39166666666668
dalarna,2005-07-01,20,7.91768817204301,245.44833333333332
dalarna,2005-08-01,16,5.923172043010753,183.61833333333334
dalarna,2005-09-01,12,5.5681666666666665,167.045
dalarna,2005-10-01,11,4.08752688172043,126.71333333333334
dalarna,2005-11-01,2,1.2801111111111112,38.403333333333336
dalarna,2005-12-01,0,1.4187634408602152,43.98166666666667
dalarna,2006-01-01,1,1.4573655913978496,45.178333333333335
dalarna,2006-02-01,7,2.9810119047619046,83.46833333333333
dalarna,2006-03-01,14,4.788870967741936,148.455
dalarna,2006-04-01,10,4.7989444444444445,143.96833333333333
dalarna,2006-05-01,16,6.825806451612903,211.6
dalarna,2006-06-01,21,10.06311111111111,301.8933333333333
dalarna,2006-07-01,22,10.071505376344087,312.2166666666667
dalarna,2006-08-01,15,6.888279569892473,213.53666666666666
dalarna,2006-09-01,14,5.849111111111111,175.47333333333333
dalarna,2006-10-01,5,2.0146774193548387,62.455
dalarna,2006-11-01,5,2.4838333333333336,74.515
dalarna,2006-12-01,0,1.1506451612903226,35.67
dalarna,2007-01-01,2,2.008279569892473,62.25666666666667
dalarna,2007-02-01,2,1.394345238095238,39.041666666666664
dalarna,2007-03-01,15,5.42225806451613,168.09
dalarna,2007-04-01,21,8.103,243.09
dalarna,2007-05-01,14,5.807741935483871,180.04
dalarna,2007-06-01,19,9.651555555555555,289.5466666666667
dalarna,2007-07-01,20,6.745161290322581,209.1
dalarna,2007-08-01,21,7.8284946236559145,242.68333333333334
dalarna,2007-09-01,11,4.416666666666667,132.5
dalarna,2007-10-01,11,3.7701612903225805,116.875
dalarna,2007-11-01,1,1.7875,53.625
dalarna,2007-12-01,0,2.007956989247312,62.24666666666667
dalarna,2008-01-01,1,1.209121863799283,37.48277777777778
dalarna,2008-02-01,8,3.5416954022988505,102.70916666666666
dalarna,2008-03-01,12,4.485188172043011,139.04083333333332
dalarna,2008-04-01,14,6.067898148148148,182.03694444444446
dalarna,2008-05-01,22,9.177679211469533,284.50805555555553
dalarna,2008-06-01,24,10.32238888888889,309.6716666666667
dalarna,2008-07-01,24,9.915510752688173,307.3808333333333
dalarna,2008-08-01,9,4.459220430107527,138.23583333333332
