Period;Grupp;Serie;Medel;Min;Max
2016 mars;Valutor mot svenska kronor;1 NOK;0,98485;0,97168;0,99897
2016 april;Valutor mot svenska kronor;1 NOK;0,9872;0,97576;0,99735
2016 maj;Valutor mot svenska kronor;1 NOK;0,99814;0,98957;1,01228
2016 juni;Valutor mot svenska kronor;1 NOK;0,99921;0,99496;1,00814
2016 juli;Valutor mot svenska kronor;1 NOK;1,01087;1,00624;1,01489
2016 augusti;Valutor mot svenska kronor;1 NOK;1,01956;1,00905;1,03094
2016 september;Valutor mot svenska kronor;1 NOK;1,03913;1,025;1,06549
2016 oktober;Valutor mot svenska kronor;1 NOK;1,07742;1,06667;1,09355
2016 november;Valutor mot svenska kronor;1 NOK;1,08446;1,07403;1,0963
2016 december;Valutor mot svenska kronor;1 NOK;1,07685;1,0534;1,0931
2017 januari;Valutor mot svenska kronor;1 NOK;1,05636;1,04897;1,06211
2017 februari;Valutor mot svenska kronor;1 NOK;1,06855;1,05805;1,07976
2017 mars;Valutor mot svenska kronor;1 NOK;1,04939;1,03484;1,07671
2017 april;Valutor mot svenska kronor;1 NOK;1,04165;1,02164;1,05294
2017 maj;Valutor mot svenska kronor;1 NOK;1,0317;1,01663;1,04103
2017 juni;Valutor mot svenska kronor;1 NOK;1,02691;1,00994;1,03309
2017 juli;Valutor mot svenska kronor;1 NOK;1,02012;1,0083;1,03484
2017 augusti;Valutor mot svenska kronor;1 NOK;1,02432;1,01659;1,03
2017 september;Valutor mot svenska kronor;1 NOK;1,02136;1,01441;1,03022
2017 oktober;Valutor mot svenska kronor;1 NOK;1,02213;1,01497;1,02952
2017 november;Valutor mot svenska kronor;1 NOK;1,02452;1,00702;1,03207
2017 december;Valutor mot svenska kronor;1 NOK;1,00914;1,00105;1,02073
2018 januari;Valutor mot svenska kronor;1 NOK;1,01745;1,00188;1,02483
2018 februari;Valutor mot svenska kronor;1 NOK;1,02614;1,01569;1,04373
2018 mars;Valutor mot svenska kronor;1 NOK;1,05987;1,0477;1,06758
2018 april;Valutor mot svenska kronor;1 NOK;1,07726;1,06579;1,08759
2018 maj;Valutor mot svenska kronor;1 NOK;1,08186;1,07127;1,09878
2018 juni;Valutor mot svenska kronor;1 NOK;1,0841;1,07398;1,10022
2018 juli;Valutor mot svenska kronor;1 NOK;1,08513;1,0744;1,09751
2018 augusti;Valutor mot svenska kronor;1 NOK;1,08716;1,07723;1,09612
2018 september;Valutor mot svenska kronor;1 NOK;1,08529;1,07507;1,09688
2018 oktober;Valutor mot svenska kronor;1 NOK;1,09511;1,08972;1,1035
2018 november;Valutor mot svenska kronor;1 NOK;1,0692;1,05668;1,08402
2018 december;Valutor mot svenska kronor;1 NOK;1,0505;1,02448;1,06649
2019 januari;Valutor mot svenska kronor;1 NOK;1,0506;1,02874;1,0727
2019 februari;Valutor mot svenska kronor;1 NOK;1,07726;1,06842;1,0856
2019 mars;Valutor mot svenska kronor;1 NOK;1,08014;1,07322;1,08616
2019 april;Valutor mot svenska kronor;1 NOK;1,08828;1,07735;1,09801
2019 maj;Valutor mot svenska kronor;1 NOK;1,09816;1,08691;1,10341
2019 juni;Valutor mot svenska kronor;1 NOK;1,08992;1,08429;1,10019
2019 juli;Valutor mot svenska kronor;1 NOK;1,09288;1,08725;1,09808
2019 augusti;Valutor mot svenska kronor;1 NOK;1,07574;1,07031;1,0899
2019 september;Valutor mot svenska kronor;1 NOK;1,07788;1,07163;1,0865
2019 oktober;Valutor mot svenska kronor;1 NOK;1,06824;1,0498;1,08496
2019 november;Valutor mot svenska kronor;1 NOK;1,05316;1,04032;1,06138
2019 december;Valutor mot svenska kronor;1 NOK;1,04227;1,03137;1,05797
2020 januari;Valutor mot svenska kronor;1 NOK;1,06242;1,0475;1,07104
2020 februari;Valutor mot svenska kronor;1 NOK;1,04268;1,02499;1,0538
2020 mars;Valutor mot svenska kronor;1 NOK;0,96255;0,86613;1,0225
2020 april;Valutor mot svenska kronor;1 NOK;0,96036;0,94278;0,98262
2020 maj;Valutor mot svenska kronor;1 NOK;0,96329;0,95056;0,97292
2020 juni;Valutor mot svenska kronor;1 NOK;0,9762;0,95952;0,99387
2020 juli;Valutor mot svenska kronor;1 NOK;0,97274;0,95759;1,01138
2020 augusti;Valutor mot svenska kronor;1 NOK;0,9735;0,95864;0,98207
2020 september;Valutor mot svenska kronor;1 NOK;0,96829;0,94863;0,9901
2020 oktober;Valutor mot svenska kronor;1 NOK;0,95187;0,93295;0,96615
2020 november;Valutor mot svenska kronor;1 NOK;0,95107;0,93152;0,96254
2020 december;Valutor mot svenska kronor;1 NOK;0,96081;0,95213;0,96929
2021 januari;Valutor mot svenska kronor;1 NOK;0,97387;0,96181;0,98419
2021 februari;Valutor mot svenska kronor;1 NOK;0,98098;0,97458;0,98767
2021 mars;Valutor mot svenska kronor;1 NOK;1,00172;0,97568;1,02293
2021 april;Valutor mot svenska kronor;1 NOK;1,01199;1,00523;1,02249
2021 maj;Valutor mot svenska kronor;1 NOK;1,00576;0,9915;1,01864
2021 juni;Valutor mot svenska kronor;1 NOK;0,99704;0,99133;1,00247
2021 juli;Valutor mot svenska kronor;1 NOK;0,98211;0,96481;0,99824
2021 augusti;Valutor mot svenska kronor;1 NOK;0,97987;0,97116;0,9937
2021 september;Valutor mot svenska kronor;1 NOK;0,99771;0,98765;1,01062
2021 oktober;Valutor mot svenska kronor;1 NOK;1,02355;1,00337;1,03062
2021 november;Valutor mot svenska kronor;1 NOK;1,00844;0,99995;1,01773
2021 december;Valutor mot svenska kronor;1 NOK;1,01187;0,99644;1,02935
2022 januari;Valutor mot svenska kronor;1 NOK;1,03376;1,02462;1,04999
2022 februari;Valutor mot svenska kronor;1 NOK;1,04775;1,03593;1,06872
2022 mars;Valutor mot svenska kronor;1 NOK;1,08345;1,05769;1,10941
2022 april;Valutor mot svenska kronor;1 NOK;1,07093;1,04873;1,0824
2022 maj;Valutor mot svenska kronor;1 NOK;1,03448;1,01622;1,05427
2022 juni;Valutor mot svenska kronor;1 NOK;1,02873;1,01565;1,04341
2022 juli;Valutor mot svenska kronor;1 NOK;1,03785;1,02563;1,05087
2022 augusti;Valutor mot svenska kronor;1 NOK;1,06834;1,04012;1,09843
