Period;Grupp;Serie;Medel;Min;Max
2023 januari;Valutor mot svenska kronor;1 DKK;1,50465;1,49212;1,51806
2023 februari;Valutor mot svenska kronor;1 DKK;1,50173;1,47971;1,5344
2023 mars;Valutor mot svenska kronor;1 DKK;1,50625;1,48716;1,53089
2023 april;Valutor mot svenska kronor;1 DKK;1,52121;1,5109;1,53165
2023 maj;Valutor mot svenska kronor;1 DKK;1,52671;1,49955;1,56681
2023 juni;Valutor mot svenska kronor;1 DKK;1,56624;1,54729;1,58343
2023 juli;Valutor mot svenska kronor;1 DKK;1,56152;1,53763;1,59818
2023 augusti;Valutor mot svenska kronor;1 DKK;1,5844;1,55753;1,60189
2023 september;Valutor mot svenska kronor;1 DKK;1,58875;1,54123;1,60143
2023 oktober;Valutor mot svenska kronor;1 DKK;1,56055;1,54488;1,58405
2023 november;Valutor mot svenska kronor;1 DKK;1,54918;1,52424;1,58154
2023 december;Valutor mot svenska kronor;1 DKK;1,5026;1,48074;1,5255
2024 januari;Valutor mot svenska kronor;1 DKK;1,51309;1,49622;1,52743
2024 februari;Valutor mot svenska kronor;1 DKK;1,50905;1,49636;1,5257
2024 mars;Valutor mot svenska kronor;1 DKK;1,51616;1,49758;1,54532
2024 april;Valutor mot svenska kronor;1 DKK;1,55384;1,5329;1,57583
2024 maj;Valutor mot svenska kronor;1 DKK;1,55667;1,53121;1,57281
2024 juni;Valutor mot svenska kronor;1 DKK;1,51315;1,50145;1,52882
2024 juli;Valutor mot svenska kronor;1 DKK;1,54577;1,52002;1,57776
2024 augusti;Valutor mot svenska kronor;1 DKK;1,53531;1,51958;1,55242
2024 september;Valutor mot svenska kronor;1 DKK;1,52249;1,51173;1,53519
