Period;Grupp;Serie;Medel;Min;Max
2013 mars;Valutor mot svenska kronor;1 USD;6,43481;6,3366;6,5162
2013 april;Valutor mot svenska kronor;1 USD;6,48855;6,3608;6,6346
2013 maj;Valutor mot svenska kronor;1 USD;6,618;6,5053;6,6965
2013 juni;Valutor mot svenska kronor;1 USD;6,57694;6,4225;6,7396
2013 juli;Valutor mot svenska kronor;1 USD;6,61997;6,4517;6,836
2013 augusti;Valutor mot svenska kronor;1 USD;6,53522;6,4763;6,6072
2013 september;Valutor mot svenska kronor;1 USD;6,50098;6,333;6,6637
2013 oktober;Valutor mot svenska kronor;1 USD;6,41109;6,318;6,512
2013 november;Valutor mot svenska kronor;1 USD;6,58436;6,4946;6,6603
2013 december;Valutor mot svenska kronor;1 USD;6,54104;6,4998;6,6094
2014 januari;Valutor mot svenska kronor;1 USD;6,48381;6,4205;6,5709
2014 februari;Valutor mot svenska kronor;1 USD;6,49766;6,4382;6,5652
2014 mars;Valutor mot svenska kronor;1 USD;6,41399;6,3392;6,5068
2014 april;Valutor mot svenska kronor;1 USD;6,53985;6,4508;6,6051
2014 maj;Valutor mot svenska kronor;1 USD;6,56974;6,4895;6,6563
2014 juni;Valutor mot svenska kronor;1 USD;6,68451;6,6272;6,7459
2014 juli;Valutor mot svenska kronor;1 USD;6,81605;6,6833;6,8924
2014 augusti;Valutor mot svenska kronor;1 USD;6,89901;6,8491;6,9727
2014 september;Valutor mot svenska kronor;1 USD;7,12302;7,0041;7,2542
2014 oktober;Valutor mot svenska kronor;1 USD;7,23709;7,1547;7,3971
2014 november;Valutor mot svenska kronor;1 USD;7,41347;7,3752;7,4671
2014 december;Valutor mot svenska kronor;1 USD;7,60409;7,4455;7,8117
2015 januari;Valutor mot svenska kronor;1 USD;8,10959;7,8239;8,3051
2015 februari;Valutor mot svenska kronor;1 USD;8,3504;8,2483;8,426
2015 mars;Valutor mot svenska kronor;1 USD;8,53002;8,2748;8,7185
2015 april;Valutor mot svenska kronor;1 USD;8,65206;8,3179;8,839
2015 maj;Valutor mot svenska kronor;1 USD;8,33864;8,2031;8,4917
2015 juni;Valutor mot svenska kronor;1 USD;8,27593;8,0842;8,5743
2015 juli;Valutor mot svenska kronor;1 USD;8,5228;8,3027;8,6489
2015 augusti;Valutor mot svenska kronor;1 USD;8,54784;8,2832;8,7629
