﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Malmö-Sturup Flygplats;53300;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1973-01-01 00:00:00;1997-10-31 23:59:59;72.0;55.5390;13.3665
1997-11-01 00:00:00;2026-05-01 14:20:59;72.0;55.5231;13.3787

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;1.3;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-6.6;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-2.0;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-2.5;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;5.4;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;9.1;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;12.0;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.9;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;14.7;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;11.9;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;9.0;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;4.6;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;2.0;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;2.6;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;1.5;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;0.6;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;5.0;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;12.3;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;16.5;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;17.1;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;15.8;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;13.1;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;7.7;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;2.1;Y
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;2.2;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;3.8;Y
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;3.8;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;4.8;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;6.2;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;12.0;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;15.1;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;17.2;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;15.4;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;13.5;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;9.4;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;3.4;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;1.4;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;3.2;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;4.8;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;5.5;Y
1990-04-01 00:00:01;1990-05-01 00:00:00;1990-04;7.4;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;12.5;Y
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;15.3;Y
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;15.9;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;16.9;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;11.5;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;9.1;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;3.8;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;1.5;Y
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;1.2;Y
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-1.7;Y
1991-03-01 00:00:01;1991-04-01 00:00:00;1991-03;3.6;Y
1991-04-01 00:00:01;1991-05-01 00:00:00;1991-04;5.8;Y
1991-05-01 00:00:01;1991-06-01 00:00:00;1991-05;9.1;Y
1991-06-01 00:00:01;1991-07-01 00:00:00;1991-06;11.7;Y
1991-07-01 00:00:01;1991-08-01 00:00:00;1991-07;17.6;Y
1991-08-01 00:00:01;1991-09-01 00:00:00;1991-08;16.9;Y
1991-09-01 00:00:01;1991-10-01 00:00:00;1991-09;13.1;Y
1991-10-01 00:00:01;1991-11-01 00:00:00;1991-10;8.3;Y
1991-11-01 00:00:01;1991-12-01 00:00:00;1991-11;4.3;Y
1991-12-01 00:00:01;1992-01-01 00:00:00;1991-12;1.8;Y
1992-01-01 00:00:01;1992-02-01 00:00:00;1992-01;1.2;Y
1992-02-01 00:00:01;1992-03-01 00:00:00;1992-02;2.1;Y
1992-03-01 00:00:01;1992-04-01 00:00:00;1992-03;3.3;Y
1992-04-01 00:00:01;1992-05-01 00:00:00;1992-04;5.6;Y
1992-05-01 00:00:01;1992-06-01 00:00:00;1992-05;12.7;Y
1992-06-01 00:00:01;1992-07-01 00:00:00;1992-06;17.3;Y
