﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg-Landvetter Flygplats;72420;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-11-01 00:00:00;1996-01-09 23:59:59;154.0;57.6678;12.2963
2008-02-01 00:00:00;2026-05-01 14:20:59;154.0;57.6764;12.2919

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2014-10-01 00:00:01;2014-11-01 00:00:00;2014-10;9.4;Y
2014-11-01 00:00:01;2014-12-01 00:00:00;2014-11;4.9;Y
2014-12-01 00:00:01;2015-01-01 00:00:00;2014-12;0.7;Y
2015-01-01 00:00:01;2015-02-01 00:00:00;2015-01;0.9;Y
2015-02-01 00:00:01;2015-03-01 00:00:00;2015-02;0.1;Y
2015-03-01 00:00:01;2015-04-01 00:00:00;2015-03;3.1;Y
2015-04-01 00:00:01;2015-05-01 00:00:00;2015-04;5.8;Y
2015-05-01 00:00:01;2015-06-01 00:00:00;2015-05;8.2;Y
2015-06-01 00:00:01;2015-07-01 00:00:00;2015-06;12.0;Y
2015-07-01 00:00:01;2015-08-01 00:00:00;2015-07;14.8;Y
2015-08-01 00:00:01;2015-09-01 00:00:00;2015-08;16.3;Y
2015-09-01 00:00:01;2015-10-01 00:00:00;2015-09;11.9;Y
2015-10-01 00:00:01;2015-11-01 00:00:00;2015-10;7.3;Y
2015-11-01 00:00:01;2015-12-01 00:00:00;2015-11;5.1;Y
2015-12-01 00:00:01;2016-01-01 00:00:00;2015-12;3.9;Y
2016-01-01 00:00:01;2016-02-01 00:00:00;2016-01;-3.6;Y
2016-02-01 00:00:01;2016-03-01 00:00:00;2016-02;-0.3;Y
2016-03-01 00:00:01;2016-04-01 00:00:00;2016-03;2.3;Y
2016-04-01 00:00:01;2016-05-01 00:00:00;2016-04;5.4;Y
2016-05-01 00:00:01;2016-06-01 00:00:00;2016-05;12.4;Y
