﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2015-06-01 00:00:01;2015-07-01 00:00:00;2015-06;14.5;Y
2015-07-01 00:00:01;2015-08-01 00:00:00;2015-07;17.0;Y
2015-08-01 00:00:01;2015-09-01 00:00:00;2015-08;18.2;Y
2015-09-01 00:00:01;2015-10-01 00:00:00;2015-09;13.5;Y
2015-10-01 00:00:01;2015-11-01 00:00:00;2015-10;8.1;Y
2015-11-01 00:00:01;2015-12-01 00:00:00;2015-11;5.0;Y
2015-12-01 00:00:01;2016-01-01 00:00:00;2015-12;4.1;Y
2016-01-01 00:00:01;2016-02-01 00:00:00;2016-01;-4.2;Y
2016-02-01 00:00:01;2016-03-01 00:00:00;2016-02;0.5;Y
2016-03-01 00:00:01;2016-04-01 00:00:00;2016-03;3.2;Y
2016-04-01 00:00:01;2016-05-01 00:00:00;2016-04;6.2;Y
2016-05-01 00:00:01;2016-06-01 00:00:00;2016-05;13.1;Y
2016-06-01 00:00:01;2016-07-01 00:00:00;2016-06;16.5;Y
2016-07-01 00:00:01;2016-08-01 00:00:00;2016-07;19.0;Y
2016-08-01 00:00:01;2016-09-01 00:00:00;2016-08;16.9;Y
2016-09-01 00:00:01;2016-10-01 00:00:00;2016-09;15.3;Y
2016-10-01 00:00:01;2016-11-01 00:00:00;2016-10;7.2;Y
2016-11-01 00:00:01;2016-12-01 00:00:00;2016-11;2.0;Y
2016-12-01 00:00:01;2017-01-01 00:00:00;2016-12;2.2;Y
2017-01-01 00:00:01;2017-02-01 00:00:00;2017-01;-0.3;Y
2017-02-01 00:00:01;2017-03-01 00:00:00;2017-02;0.2;Y
2017-03-01 00:00:01;2017-04-01 00:00:00;2017-03;3.3;Y
2017-04-01 00:00:01;2017-05-01 00:00:00;2017-04;4.9;Y
2017-05-01 00:00:01;2017-06-01 00:00:00;2017-05;11.3;Y
2017-06-01 00:00:01;2017-07-01 00:00:00;2017-06;15.2;Y
2017-07-01 00:00:01;2017-08-01 00:00:00;2017-07;17.4;Y
