﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Umeå Flygplats;140480;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-02-01 00:00:00;1981-07-06 23:59:59;7.0;63.7947;20.2918
1981-08-01 00:00:00;2026-05-01 14:20:59;7.31;63.7931;20.2800

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1973-03-01 00:00:01;1973-04-01 00:00:00;1973-03;-0.6;Y
1973-04-01 00:00:01;1973-05-01 00:00:00;1973-04;1.0;Y
1973-05-01 00:00:01;1973-06-01 00:00:00;1973-05;7.4;Y
1973-06-01 00:00:01;1973-07-01 00:00:00;1973-06;14.2;Y
1973-07-01 00:00:01;1973-08-01 00:00:00;1973-07;18.9;Y
1973-08-01 00:00:01;1973-09-01 00:00:00;1973-08;13.6;Y
1973-09-01 00:00:01;1973-10-01 00:00:00;1973-09;6.4;Y
1973-10-01 00:00:01;1973-11-01 00:00:00;1973-10;0.9;Y
1973-11-01 00:00:01;1973-12-01 00:00:00;1973-11;-5.0;Y
1973-12-01 00:00:01;1974-01-01 00:00:00;1973-12;-9.6;Y
1974-01-01 00:00:01;1974-02-01 00:00:00;1974-01;-3.5;Y
1974-02-01 00:00:01;1974-03-01 00:00:00;1974-02;-3.4;Y
1974-03-01 00:00:01;1974-04-01 00:00:00;1974-03;-2.2;Y
1974-04-01 00:00:01;1974-05-01 00:00:00;1974-04;3.0;Y
1974-05-01 00:00:01;1974-06-01 00:00:00;1974-05;7.1;Y
1974-06-01 00:00:01;1974-07-01 00:00:00;1974-06;14.5;Y
1974-07-01 00:00:01;1974-08-01 00:00:00;1974-07;15.0;Y
1974-08-01 00:00:01;1974-09-01 00:00:00;1974-08;13.5;Y
1974-09-01 00:00:01;1974-10-01 00:00:00;1974-09;10.9;Y
1974-10-01 00:00:01;1974-11-01 00:00:00;1974-10;3.2;Y
1974-11-01 00:00:01;1974-12-01 00:00:00;1974-11;-2.2;Y
1974-12-01 00:00:01;1975-01-01 00:00:00;1974-12;-3.9;Y
1975-01-01 00:00:01;1975-02-01 00:00:00;1975-01;-4.7;Y
1975-02-01 00:00:01;1975-03-01 00:00:00;1975-02;-2.8;Y
1975-03-01 00:00:01;1975-04-01 00:00:00;1975-03;-0.5;Y
1975-04-01 00:00:01;1975-05-01 00:00:00;1975-04;1.9;Y
1975-05-01 00:00:01;1975-06-01 00:00:00;1975-05;8.4;Y
1975-06-01 00:00:01;1975-07-01 00:00:00;1975-06;11.9;Y
1975-07-01 00:00:01;1975-08-01 00:00:00;1975-07;14.9;Y
1975-08-01 00:00:01;1975-09-01 00:00:00;1975-08;14.0;Y
1975-09-01 00:00:01;1975-10-01 00:00:00;1975-09;10.3;Y
1975-10-01 00:00:01;1975-11-01 00:00:00;1975-10;4.0;Y
1975-11-01 00:00:01;1975-12-01 00:00:00;1975-11;-0.2;Y
1975-12-01 00:00:01;1976-01-01 00:00:00;1975-12;-4.2;Y
1976-01-01 00:00:01;1976-02-01 00:00:00;1976-01;-12.5;Y
1976-02-01 00:00:01;1976-03-01 00:00:00;1976-02;-5.7;Y
1976-03-01 00:00:01;1976-04-01 00:00:00;1976-03;-7.0;Y
1976-04-01 00:00:01;1976-05-01 00:00:00;1976-04;0.5;Y
1976-05-01 00:00:01;1976-06-01 00:00:00;1976-05;8.3;Y
1976-06-01 00:00:01;1976-07-01 00:00:00;1976-06;12.2;Y
1976-07-01 00:00:01;1976-08-01 00:00:00;1976-07;13.7;Y
1976-08-01 00:00:01;1976-09-01 00:00:00;1976-08;14.1;Y
1976-09-01 00:00:01;1976-10-01 00:00:00;1976-09;5.4;Y
1976-10-01 00:00:01;1976-11-01 00:00:00;1976-10;1.8;Y
1976-11-01 00:00:01;1976-12-01 00:00:00;1976-11;-1.9;Y
1976-12-01 00:00:01;1977-01-01 00:00:00;1976-12;-6.2;Y
1977-01-01 00:00:01;1977-02-01 00:00:00;1977-01;-7.4;Y
1977-02-01 00:00:01;1977-03-01 00:00:00;1977-02;-10.9;Y
1977-03-01 00:00:01;1977-04-01 00:00:00;1977-03;-2.8;Y
1977-04-01 00:00:01;1977-05-01 00:00:00;1977-04;-1.3;Y
1977-05-01 00:00:01;1977-06-01 00:00:00;1977-05;5.8;Y
1977-06-01 00:00:01;1977-07-01 00:00:00;1977-06;11.7;Y
1977-07-01 00:00:01;1977-08-01 00:00:00;1977-07;13.5;Y
1977-08-01 00:00:01;1977-09-01 00:00:00;1977-08;12.9;Y
1977-09-01 00:00:01;1977-10-01 00:00:00;1977-09;8.0;Y
1977-10-01 00:00:01;1977-11-01 00:00:00;1977-10;4.1;Y
1977-11-01 00:00:01;1977-12-01 00:00:00;1977-11;-1.9;Y
1977-12-01 00:00:01;1978-01-01 00:00:00;1977-12;-3.0;Y
1978-01-01 00:00:01;1978-02-01 00:00:00;1978-01;-7.3;Y
1978-02-01 00:00:01;1978-03-01 00:00:00;1978-02;-13.5;Y
1978-03-01 00:00:01;1978-04-01 00:00:00;1978-03;-4.4;Y
1978-04-01 00:00:01;1978-05-01 00:00:00;1978-04;-0.2;Y
1978-05-01 00:00:01;1978-06-01 00:00:00;1978-05;8.4;Y
1978-06-01 00:00:01;1978-07-01 00:00:00;1978-06;12.5;Y
1978-07-01 00:00:01;1978-08-01 00:00:00;1978-07;13.6;Y
1978-08-01 00:00:01;1978-09-01 00:00:00;1978-08;12.6;Y
1978-09-01 00:00:01;1978-10-01 00:00:00;1978-09;7.7;Y
1978-10-01 00:00:01;1978-11-01 00:00:00;1978-10;2.6;Y
1978-11-01 00:00:01;1978-12-01 00:00:00;1978-11;-1.5;Y
1978-12-01 00:00:01;1979-01-01 00:00:00;1978-12;-13.8;Y
1979-01-01 00:00:01;1979-02-01 00:00:00;1979-01;-13.6;Y
1979-02-01 00:00:01;1979-03-01 00:00:00;1979-02;-11.1;Y
1979-03-01 00:00:01;1979-04-01 00:00:00;1979-03;-2.7;Y
1979-04-01 00:00:01;1979-05-01 00:00:00;1979-04;0.5;Y
1979-05-01 00:00:01;1979-06-01 00:00:00;1979-05;6.8;Y
1979-06-01 00:00:01;1979-07-01 00:00:00;1979-06;13.8;Y
1979-07-01 00:00:01;1979-08-01 00:00:00;1979-07;15.1;Y
1979-08-01 00:00:01;1979-09-01 00:00:00;1979-08;14.3;Y
1979-09-01 00:00:01;1979-10-01 00:00:00;1979-09;8.1;Y
1979-10-01 00:00:01;1979-11-01 00:00:00;1979-10;1.9;Y
1979-11-01 00:00:01;1979-12-01 00:00:00;1979-11;-1.1;Y
1979-12-01 00:00:01;1980-01-01 00:00:00;1979-12;-5.8;Y
1980-01-01 00:00:01;1980-02-01 00:00:00;1980-01;-9.9;Y
1980-02-01 00:00:01;1980-03-01 00:00:00;1980-02;-12.2;Y
1980-03-01 00:00:01;1980-04-01 00:00:00;1980-03;-7.9;Y
1980-04-01 00:00:01;1980-05-01 00:00:00;1980-04;3.1;Y
1980-05-01 00:00:01;1980-06-01 00:00:00;1980-05;7.0;Y
1980-06-01 00:00:01;1980-07-01 00:00:00;1980-06;14.9;Y
1980-07-01 00:00:01;1980-08-01 00:00:00;1980-07;16.0;Y
1980-08-01 00:00:01;1980-09-01 00:00:00;1980-08;13.6;Y
1980-09-01 00:00:01;1980-10-01 00:00:00;1980-09;10.3;Y
1980-10-01 00:00:01;1980-11-01 00:00:00;1980-10;2.6;Y
1980-11-01 00:00:01;1980-12-01 00:00:00;1980-11;-7.1;Y
1980-12-01 00:00:01;1981-01-01 00:00:00;1980-12;-8.2;Y
1981-01-01 00:00:01;1981-02-01 00:00:00;1981-01;-7.6;Y
1981-02-01 00:00:01;1981-03-01 00:00:00;1981-02;-9.4;Y
1981-03-01 00:00:01;1981-04-01 00:00:00;1981-03;-8.6;Y
1981-04-01 00:00:01;1981-05-01 00:00:00;1981-04;1.5;Y
1981-05-01 00:00:01;1981-06-01 00:00:00;1981-05;7.9;Y
1981-06-01 00:00:01;1981-07-01 00:00:00;1981-06;11.1;Y
1981-07-01 00:00:01;1981-08-01 00:00:00;1981-07;14.9;Y
1981-08-01 00:00:01;1981-09-01 00:00:00;1981-08;12.5;Y
1981-09-01 00:00:01;1981-10-01 00:00:00;1981-09;8.7;Y
1981-10-01 00:00:01;1981-11-01 00:00:00;1981-10;3.3;Y
1981-11-01 00:00:01;1981-12-01 00:00:00;1981-11;-2.6;Y
1981-12-01 00:00:01;1982-01-01 00:00:00;1981-12;-11.6;Y
1982-01-01 00:00:01;1982-02-01 00:00:00;1982-01;-12.9;Y
1982-02-01 00:00:01;1982-03-01 00:00:00;1982-02;-6.4;Y
1982-03-01 00:00:01;1982-04-01 00:00:00;1982-03;-1.2;Y
1982-04-01 00:00:01;1982-05-01 00:00:00;1982-04;2.0;Y
1982-05-01 00:00:01;1982-06-01 00:00:00;1982-05;6.7;Y
1982-06-01 00:00:01;1982-07-01 00:00:00;1982-06;10.3;Y
1982-07-01 00:00:01;1982-08-01 00:00:00;1982-07;15.8;Y
1982-08-01 00:00:01;1982-09-01 00:00:00;1982-08;14.1;Y
1982-09-01 00:00:01;1982-10-01 00:00:00;1982-09;8.8;Y
1982-10-01 00:00:01;1982-11-01 00:00:00;1982-10;3.2;Y
1982-11-01 00:00:01;1982-12-01 00:00:00;1982-11;-0.4;Y
1982-12-01 00:00:01;1983-01-01 00:00:00;1982-12;-4.3;Y
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;-5.5;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-7.6;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;-3.0;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;2.5;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;8.6;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;12.6;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;15.8;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;13.2;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;9.6;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;4.1;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;-4.2;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;-7.1;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;-10.1;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-4.5;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;-6.8;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;2.7;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;10.6;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;13.3;Y
1984-07-01 00:00:01;1984-08-01 00:00:00;1984-07;15.1;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;14.2;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;8.4;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;5.0;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;-1.5;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;-1.9;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-15.8;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-17.4;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;-4.5;Y
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;-0.4;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;5.7;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;12.7;Y
1985-07-01 00:00:01;1985-08-01 00:00:00;1985-07;15.2;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;14.2;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;8.6;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;5.3;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;-3.8;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;-14.7;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-13.7;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-10.8;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;-1.7;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;-0.3;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;7.4;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;14.7;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;14.9;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;11.1;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;5.9;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;4.4;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;0.8;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;-8.9;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-18.2;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-10.0;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-7.5;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;0.8;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;5.7;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;10.7;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.4;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;10.5;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;7.5;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;6.5;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;-1.2;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;-7.2;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;-5.6;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;-7.3;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;-4.5;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;0.1;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;7.7;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;14.4;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;17.7;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;12.9;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;10.0;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;2.5;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;-5.2;Y
1988-12-01 00:00:01;1989-01-01 00:00:00;1988-12;-8.3;Y
1989-01-01 00:00:01;1989-02-01 00:00:00;1989-01;-2.4;Y
1989-02-01 00:00:01;1989-03-01 00:00:00;1989-02;-2.3;Y
1989-03-01 00:00:01;1989-04-01 00:00:00;1989-03;-0.7;Y
1989-04-01 00:00:01;1989-05-01 00:00:00;1989-04;2.6;Y
1989-05-01 00:00:01;1989-06-01 00:00:00;1989-05;9.0;Y
1989-06-01 00:00:01;1989-07-01 00:00:00;1989-06;13.7;Y
1989-07-01 00:00:01;1989-08-01 00:00:00;1989-07;16.0;Y
1989-08-01 00:00:01;1989-09-01 00:00:00;1989-08;14.3;Y
1989-09-01 00:00:01;1989-10-01 00:00:00;1989-09;10.1;Y
1989-10-01 00:00:01;1989-11-01 00:00:00;1989-10;3.1;Y
1989-11-01 00:00:01;1989-12-01 00:00:00;1989-11;-0.3;Y
1989-12-01 00:00:01;1990-01-01 00:00:00;1989-12;-7.7;Y
1990-01-01 00:00:01;1990-02-01 00:00:00;1990-01;-8.2;Y
1990-02-01 00:00:01;1990-03-01 00:00:00;1990-02;-0.1;Y
1990-03-01 00:00:01;1990-04-01 00:00:00;1990-03;-0.9;Y
1990-04-01 00:00:01;1990-05-01 00:00:00;1990-04;3.0;Y
1990-05-01 00:00:01;1990-06-01 00:00:00;1990-05;9.0;Y
1990-06-01 00:00:01;1990-07-01 00:00:00;1990-06;13.2;Y
1990-07-01 00:00:01;1990-08-01 00:00:00;1990-07;15.3;Y
1990-08-01 00:00:01;1990-09-01 00:00:00;1990-08;14.6;Y
1990-09-01 00:00:01;1990-10-01 00:00:00;1990-09;8.6;Y
1990-10-01 00:00:01;1990-11-01 00:00:00;1990-10;5.1;Y
1990-11-01 00:00:01;1990-12-01 00:00:00;1990-11;-2.7;Y
1990-12-01 00:00:01;1991-01-01 00:00:00;1990-12;-2.3;Y
1991-01-01 00:00:01;1991-02-01 00:00:00;1991-01;-4.4;Y
1991-02-01 00:00:01;1991-03-01 00:00:00;1991-02;-9.3;Y
1991-03-01 00:00:01;1991-04-01 00:00:00;1991-03;-2.2;Y
1991-04-01 00:00:01;1991-05-01 00:00:00;1991-04;2.1;Y
1991-05-01 00:00:01;1991-06-01 00:00:00;1991-05;6.1;Y
